id,ylang,tlang,level,wclass,type,tlang_ex,ylang_ex,tlang_exf,furigana,chikugoyaku
,English,Japanese,Beginner1,Fragment,Verb 起きる,起きません,not get up(p),起きません,oki masen,not get up(p)
,English,Japanese,Beginner1,Fragment,Verb 起きる,起きました,got up(p),起きました,oki mashita,got up(p)
,English,Japanese,Beginner1,Fragment,Verb 起きる,起きませんでした,not got up(p),起きませんでした,oki masen deshita,not got up(p)
,English,Japanese,Beginner1,Fragment,,,,,,1
,English,Japanese,Beginner1,Fragment,Verb 寝る,寝る,go to bed,寝る,neru,go to bed
,English,Japanese,Beginner1,Fragment,Verb 寝る,寝ない,not go to bed,寝ない,ne nai,not go to bed
,English,Japanese,Beginner1,Fragment,Verb 寝る,寝た,went to bed,寝た,ne ta,went to bed
,English,Japanese,Beginner1,Fragment,Verb 寝る,寝なかった,not went to bed,寝なかった,ne nakatta,not went to bed
,English,Japanese,Beginner1,Fragment,Verb 寝る,寝ます,go to bed(p),寝ます,ne masu,go to bed(p)
,English,Japanese,Beginner1,Fragment,Verb 寝る,寝ません,not go to bed(p),寝ません,ne masen,not go to bed(p)
,English,Japanese,Beginner1,Fragment,Verb 寝る,寝ました,went to bed(p),寝ました,ne mashita,went to bed(p)
,English,Japanese,Beginner1,Fragment,Verb 寝る,寝ませんでした,not went to bed(p),寝ませんでした,ne masen deshita,not went to bed(p)
,English,Japanese,Beginner1,Fragment,,,,,,1
,English,Japanese,Beginner1,Fragment,Verb 勉強する,勉強する,study,勉強する,benkyou suru,study
,English,Japanese,Beginner1,Fragment,Verb 勉強する,勉強しない,not study,勉強しない,benkyou shi nai,not study
,English,Japanese,Beginner1,Fragment,Verb 勉強する,勉強した,studied,勉強した,benkyou shi ta,studied
,English,Japanese,Beginner1,Fragment,Verb 勉強する,勉強しなかった,not studied,勉強しなかった,benkyou shi nakatta,not studied
,English,Japanese,Beginner1,Fragment,Verb 勉強する,勉強します,study(p),勉強します,benkyou shi masu,study(p)
,English,Japanese,Beginner1,Fragment,Verb 勉強する,勉強しません,not study(p),勉強しません,benkyou shi masen,not study(p)
,English,Japanese,Beginner1,Fragment,Verb 勉強する,勉強しました,studied(p),勉強しました,benkyou shi mashita,studied(p)
,English,Japanese,Beginner1,Fragment,Verb 勉強する,勉強しませんでした,not studied(p),勉強しませんでした,benkyou shi masen deshita,not studied(p)
,English,Japanese,Beginner1,Fragment,,,,,,1
,English,Japanese,Beginner1,Fragment,Verb 食べる,食べる,eat,食べる,taberu,eat
,English,Japanese,Beginner1,Fragment,Verb 食べる,食べない,not eat,食べない,tabe nai,not eat
,English,Japanese,Beginner1,Fragment,Verb 食べる,食べた,ate,食べた,tabe ta,ate
,English,Japanese,Beginner1,Fragment,Verb 食べる,食べなかった,not ate,食べなかった,tabe nakatta,not ate
,English,Japanese,Beginner1,Fragment,Verb 食べる,食べます,eat(p),食べます,tabe masu,eat(p)
,English,Japanese,Beginner1,Fragment,Verb 食べる,食べません,not eat(p),食べません,tabe masen,not eat(p)
,English,Japanese,Beginner1,Fragment,Verb 食べる,食べました,ate(p),食べました,tabe mashita,ate(p)
,English,Japanese,Beginner1,Fragment,Verb 食べる,食べませんでした,not ate(p),食べませんでした,tabe masen deshita,not ate(p)
,English,Japanese,Beginner1,Fragment,,,,,,1
,English,Japanese,Beginner1,Fragment,Verb 飲む,飲む,drink,飲む,nomu,drink
,English,Japanese,Beginner1,Fragment,Verb 飲む,飲まない,not drink,飲まない,noma nai,not drink
,English,Japanese,Beginner1,Fragment,Verb 飲む,飲んだ,drank,飲んだ,non da,drank
,English,Japanese,Beginner1,Fragment,Verb 飲む,飲まなかった,not drank,飲まなかった,noma nakatta,not drank
,English,Japanese,Beginner1,Fragment,Verb 飲む,飲みます,drink(p),飲みます,nomi masu,drink(p)
,English,Japanese,Beginner1,Fragment,Verb 飲む,飲みません,not drink,飲みません,nomi masen,not drink
,English,Japanese,Beginner1,Fragment,Verb 飲む,飲みました,drank(p),飲みました,nomi mashita,drank(p)
,English,Japanese,Beginner1,Fragment,Verb 飲む,飲みませんでした,not drank(p),飲みませんでした,nomi masen deshita,not drank(p)
,English,Japanese,Beginner1,Fragment,,,,,,1
,English,Japanese,Beginner1,Fragment,,,,,,1
,English,Japanese,Beginner1,Fragment,Verb 行く,行く,go,行く,iku,go
,English,Japanese,Beginner1,Fragment,Verb 行く,行かない,not go,行かない,ika nai,not go
,English,Japanese,Beginner1,Fragment,Verb 行く,行った,went,行った,i tta,went
,English,Japanese,Beginner1,Fragment,Verb 行く,行かなかった,not went,行かなかった,ika nakatta,not went
,English,Japanese,Beginner1,Fragment,Verb 行く,行きます,go(p),行きます,iki masu,go(p)
,English,Japanese,Beginner1,Fragment,Verb 行く,行きません,not go(p),行きません,iki masen,not go(p)
,English,Japanese,Beginner1,Fragment,Verb 行く,行きました,went(p),行きました,iki mashita,went(p)
,English,Japanese,Beginner1,Fragment,Verb 行く,行きませんでした,not went(p),行きませんでした,iki masen deshita,not went(p)
,English,Japanese,Beginner1,Fragment,,,,,,1
,English,Japanese,Beginner1,Fragment,Verb 来る,来る,come,来る,kuru,come
,English,Japanese,Beginner1,Fragment,Verb 来る,来た,came,来た,ki ta,came
,English,Japanese,Beginner1,Fragment,Verb 来る,来ない,not come,来ない,ko nai,not come
,English,Japanese,Beginner1,Fragment,Verb 来る,来なかった,not came,来なかった,ko nakatta,not came
,English,Japanese,Beginner1,Fragment,Verb 来る,来ます,come(p),来ます,ki masu,come(p)
,English,Japanese,Beginner1,Fragment,Verb 来る,来ません,came(p),来ません,ki masen,came(p)
,English,Japanese,Beginner1,Fragment,Verb 来る,来ました,not come(p),来ました,ki mashita,not come(p)
,English,Japanese,Beginner1,Fragment,Verb 来る,来ませんでした,not came(p),来ませんでした,ki masen deshita,not came(p)
,English,Japanese,Beginner1,Fragment,,,,,,1
,English,Japanese,Beginner1,Fragment,Verb する,する,do,する,suru,do
,English,Japanese,Beginner1,Fragment,Verb する,しない,not do,しない,shi nai,not do
,English,Japanese,Beginner1,Fragment,Verb する,した,did,した,shi ta,did
,English,Japanese,Beginner1,Fragment,Verb する,しなかった,not did,しなかった,shi nakatta,not did
,English,Japanese,Beginner1,Fragment,Verb する,します,do(p),します,shi masu,do(p)
,English,Japanese,Beginner1,Fragment,Verb する,しません,not do(p),しません,shi masen,not do(p)
,English,Japanese,Beginner1,Fragment,Verb する,しました,did(p),しました,shi mashita,did(p)
,English,Japanese,Beginner1,Fragment,Verb する,しませんでした,not did(p),しませんでした,shi masen deshita,not did(p)
,English,Japanese,Beginner1,Fragment,,,,,,1
,English,Japanese,Beginner1,Fragment,Verb 吸う,吸う,inhale,吸う,suu,inhale
,English,Japanese,Beginner1,Fragment,Verb 吸う,吸わない,not inhale,吸わない,suwa nai,not inhale
,English,Japanese,Beginner1,Fragment,Verb 吸う,吸った,inhaled,吸った,su tta,inhaled
,English,Japanese,Beginner1,Fragment,Verb 吸う,吸わなかった,not inhaled,吸わなかった,suwa nakatta,not inhaled
,English,Japanese,Beginner1,Fragment,Verb 吸う,吸います,inhale(p),吸います,sui masu,inhale(p)
,English,Japanese,Beginner1,Fragment,Verb 吸う,吸いません,not inhale(p),吸いません,sui masen,not inhale(p)
,English,Japanese,Beginner1,Fragment,Verb 吸う,吸いました,inhaled(p),吸いました,sui mashita,inhaled(p)
