id,ylang,tlang,level,wclass,type,tlang_ex,ylang_ex,tlang_exf,furigana,chikugoyaku
,English,Japanese,Verb,V usually ,映画を見る / watch a movie ,映画館で見ます,At the movie theater.,映画館で | 見ます,e-ga kan de | mi masu,at the movie theater | watch(polite)
,English,Japanese,Verb,V usually ,映画を見る / watch a movie ,普段は誰と映画を見ますか？,Who do you usually watch a movie with?,普段は | 誰と | 映画を | 見ます | か？,fudan wa | dare to | e-ga wo | mi masu | ka？,usually | with who | movie | watch(polite) | ？
,English,Japanese,Verb,V usually ,映画を見る / watch a movie ,1人で見ます,By myself.,1人で | 見ます,hitori de | mi masu,alone | watch(polite)
,English,Japanese,Verb,V usually ,映画を見る / watch a movie ,普段はどれくらい映画を見ますか？,How often do you usually watch a movie?,普段は | どれくらい | 映画を | 見ます | か？,fudan wa | dorekurai | e-ga wo | mi masu | ka？,usually | how often | movie | watch(polite) | ？
,English,Japanese,Verb,V usually ,映画を見る / watch a movie ,週に3回くらい見ます,About 3 times a week.,週に | 3回 | くらい | 見ます,shu- ni | san kai | kurai | mi masu,a week | three times | about | watch(polite)
,English,Japanese,Verb,V usually ,映画を見る / watch a movie ,普段はどんな映画を見ますか？,What kind of movie do you usually watch?,普段は | どんな | 映画を | 見ます | か？,fudan wa | donna | e-ga wo | mi masu | ka？,usually | what kind of | movie | watch(polite) | ？
,English,Japanese,Verb,V usually ,映画を見る / watch a movie ,ホラー映画を見ます,Horror movies.,ホラー映画を | 見ます,hora- e-ga wo | mi masu,horror movie | watch(polite)
,,,,,,,,,,1
,English,Japanese,Verb,V recently,映画を見る / watch a movie ,最近は映画を見ていますか？,Are you watching movies recently?,最近は | 映画を | 見ています | か？,saikin wa | e-ga wo | mite imasu | ka?,recently | movie | watching(polite) | ？
,English,Japanese,Verb,V recently,映画を見る / watch a movie ,最近は毎日映画を見ています,I am watching movies every day recently.,最近は | 毎日 | 映画を | 見ています,saikin wa | mainichi | e-ga wo | mite i masu,recently | every day | movie | watching(polite)
,English,Japanese,Verb,V recently,映画を見る / watch a movie ,最近は全然映画を見ていません,I am not watching movies at all recently.,最近は | 全然 | 映画を | 見ていません,saikin wa | zenzen | e-ga wo | mite i masen,recently | at all | movie | not watching(polite)
,,,,,,,,,,1
